cluster,centroid_id,centroidx,centroidy,centroidz,cluster_points
5.0,1975.0,-127213.82857142856,-1601.5142857142855,1236.942857142857,35.0
3.0,1932.0,-175943.46153846153,-838.6923076923077,323.7692307692308,26.0
1.0,1902.0,-181605.9411764706,140.2941176470588,546.5,34.0
11.0,2001.0,-102616.0,-2618.0,268.0,1.0
15.0,2002.0,-133804.0,-2137.0,895.0,1.0
10.0,1715.0,-151079.94285714286,-52.27142857142857,424.4971428571429,350.0
6.0,1996.0,-167781.85714285713,698.7142857142857,1136.142857142857,7.0
4.0,1952.0,-137209.2142857143,1280.7857142857142,1956.857142857143,14.0
