source_id,Energy,Lz,Lperp
2587112141027257472,-147905.0,1286.0,1727.0
5286659924500949632,-140184.0,1026.0,2111.0
2614698131854262272,-140047.0,1598.0,1601.0
1009665142487836032,-139014.0,976.0,1999.0
3734456201104375808,-138412.0,1346.0,1870.0
2343399719374214528,-138136.0,1065.0,2177.0
4947090013255935616,-137775.0,1487.0,1772.0
3703140048361445120,-137332.0,1235.0,2012.0
5818849597035446528,-135009.0,1551.0,1739.0
5248858577304291328,-134672.0,1255.0,1862.0
3294371208888709248,-134395.0,1393.0,2229.0
4853328098342032256,-133534.0,1106.0,2033.0
1593095630280501888,-133345.0,1605.0,1916.0
4650753560652926976,-131169.0,1002.0,2348.0
