source_id,Energy,Lz,Lperp
4940792186747744640,-167874.0,-305.0,268.0
4386510954799061376,-167743.0,-147.0,517.0
2263662586373333632,-167562.0,-242.0,297.0
2538463596221422976,-167128.0,-262.0,211.0
1464629481965020672,-166842.0,-151.0,419.0
1257263513111088896,-166634.0,-32.0,290.0
6445378294926982016,-166466.0,-96.0,330.0
6295359828920107648,-166417.0,-177.0,380.0
6554888136927762304,-166394.0,-355.0,205.0
6321162927283248640,-166311.0,-361.0,127.0
5280883674523697792,-166040.0,-322.0,619.0
4294553231126205440,-165981.0,-309.0,425.0
1345451561204622336,-165942.0,-151.0,218.0
5775751352558553728,-165734.0,-399.0,514.0
5283910492608517376,-165629.0,-402.0,288.0
1802560257598459776,-165326.0,-345.0,564.0
6033690836254764416,-164621.0,-323.0,615.0
2932808492414726400,-164570.0,-203.0,525.0
563939140226898560,-164552.0,-255.0,599.0
5817447341752975488,-164531.0,-42.0,274.0
6006167311383552512,-164469.0,-69.0,601.0
1482027947804961792,-164458.0,-28.0,583.0
585206856201832576,-164076.0,-351.0,311.0
5262046772597317376,-163767.0,-358.0,538.0
6652769032855860608,-163703.0,-115.0,187.0
2634018166061736960,-163629.0,-56.0,478.0
4544683192877427328,-163479.0,-100.0,536.0
1462990385006034944,-163458.0,-331.0,514.0
2808462454676996608,-163395.0,-362.0,422.0
3018626302667042816,-163366.0,-282.0,306.0
4675881215270421376,-163362.0,-445.0,402.0
745761186221843328,-163322.0,-333.0,109.0
6708039287667982464,-163313.0,-13.0,445.0
2475319193194079616,-163185.0,-84.0,336.0
2478321925089803904,-163170.0,-230.0,747.0
538832101445230720,-163149.0,-392.0,376.0
6312726512002237440,-163120.0,-320.0,562.0
2464755394712068352,-163085.0,-80.0,465.0
6501050653153411712,-163072.0,-313.0,666.0
5661545041123148032,-163014.0,-233.0,66.0
6322601191571653504,-162893.0,-446.0,233.0
3067026220409673216,-162712.0,-131.0,633.0
670484634456082560,-162691.0,-236.0,190.0
6040870887653127808,-162681.0,-303.0,203.0
323121419155355648,-162666.0,-339.0,386.0
6424859002771741312,-162478.0,-295.0,207.0
6160542557845920768,-162452.0,-213.0,120.0
854705196349564672,-162451.0,-304.0,254.0
3393783106037344128,-162387.0,-305.0,510.0
714577181033569664,-162198.0,-24.0,212.0
6166655395820377472,-162110.0,-17.0,110.0
6372048153618353152,-161976.0,-19.0,674.0
971790574683661824,-161967.0,-103.0,670.0
6562884683134864512,-161929.0,-77.0,145.0
6589031069644444416,-161871.0,-83.0,364.0
5418847163765088896,-161844.0,-398.0,151.0
1799727675123571072,-161834.0,-160.0,403.0
1260564521895678208,-161788.0,-382.0,574.0
4447301440873846144,-161632.0,-108.0,129.0
6584661129397998720,-161513.0,-260.0,167.0
3575323539619668608,-161367.0,-297.0,419.0
6882736292146725888,-161298.0,-7.0,376.0
595352561092332800,-161181.0,-132.0,659.0
1837659554971060736,-161005.0,-206.0,658.0
5768557209320424320,-160786.0,-218.0,789.0
2934185836887070208,-160786.0,-170.0,500.0
378144696158046336,-160777.0,-285.0,178.0
2765064765090082944,-160602.0,-422.0,308.0
4722303936224539520,-160546.0,-88.0,758.0
2565582913081431296,-160501.0,-21.0,692.0
933060243235054336,-160457.0,-314.0,766.0
6345732030002869376,-160443.0,40.0,579.0
3008257289543955968,-160393.0,-213.0,177.0
725722724244414848,-160213.0,-186.0,267.0
6688916306549500800,-160060.0,-121.0,18.0
3216045367781211776,-159902.0,-171.0,393.0
932425515788409472,-159803.0,-516.0,502.0
1554494044772634368,-159753.0,-378.0,347.0
4741210588419891328,-159620.0,-248.0,589.0
1701333887084708352,-159618.0,-340.0,588.0
3778776002990809472,-159570.0,39.0,508.0
5378960730199478272,-159534.0,-446.0,409.0
5360582668224333184,-159467.0,-107.0,687.0
1334345909648791296,-159408.0,-20.0,862.0
5707676391496267648,-159324.0,-23.0,434.0
3258862755748303872,-159312.0,-133.0,27.0
1802785451326044928,-159217.0,26.0,324.0
1031409805993089664,-159057.0,12.0,147.0
4440737596970692096,-158996.0,-322.0,563.0
4465782066669535232,-158892.0,-86.0,423.0
6515198554600814592,-158833.0,-176.0,374.0
4440930595621171840,-158824.0,-418.0,257.0
3850858228666022912,-158778.0,-16.0,265.0
4854742139014838272,-158600.0,20.0,498.0
172314229650814208,-158517.0,-243.0,483.0
