source_id,Energy,Lz,Lperp
6767980950754471552,-187142.0,161.0,445.0
4233088228994519808,-185909.0,318.0,260.0
6730142666841686656,-185490.0,268.0,205.0
6780267993191790464,-185385.0,309.0,394.0
5917965343292157568,-184736.0,229.0,551.0
6855840554107269632,-184695.0,279.0,451.0
6708857324311426944,-184258.0,197.0,445.0
6196736212889179008,-184203.0,229.0,585.0
5764934181067920256,-184165.0,75.0,425.0
6800445783909390464,-183565.0,318.0,452.0
6210155821029741952,-182967.0,233.0,645.0
6885159169097215104,-182737.0,-31.0,692.0
5241480510721148800,-182705.0,101.0,386.0
1209556184618394240,-182594.0,93.0,408.0
6293294877363944832,-182476.0,112.0,712.0
5916874632078378112,-182333.0,161.0,256.0
5994033650829528576,-182270.0,280.0,263.0
6529376963198996352,-182252.0,78.0,528.0
1806691191509324672,-182204.0,148.0,712.0
6136887385511770496,-182068.0,197.0,605.0
6363504054917758592,-181906.0,190.0,409.0
2098060604631085952,-180257.0,291.0,503.0
4608806161253188992,-180134.0,24.0,654.0
6133370052112414208,-180070.0,-33.0,689.0
6259695623086202880,-179411.0,-10.0,777.0
4221926433630729600,-179232.0,220.0,727.0
6124231873534313600,-179016.0,-9.0,604.0
3459186249546361344,-178855.0,178.0,542.0
4085519062597404800,-178255.0,16.0,787.0
5918501428232052992,-177547.0,16.0,647.0
4137370553509971584,-177007.0,-165.0,810.0
1239603363504114560,-176617.0,82.0,721.0
2065715377726846336,-176279.0,245.0,509.0
6150544556879395328,-175862.0,-30.0,782.0
