source_id,Energy,Lz,Lperp
6120897123486850944,-180538.0,-571.0,232.0
3656773471218442112,-179921.0,-747.0,353.0
5913249851463078528,-179797.0,-601.0,302.0
6512533544573017856,-179597.0,-555.0,354.0
4643606391466365824,-179288.0,-662.0,250.0
6591208755501548672,-178864.0,-935.0,298.0
2027933959205297280,-178142.0,-696.0,128.0
5930541561668628736,-177885.0,-745.0,344.0
6913977261486515840,-177679.0,-802.0,367.0
1319773635369410048,-177420.0,-672.0,316.0
1355794701446514944,-177417.0,-777.0,398.0
6869079979776424448,-177359.0,-891.0,378.0
2622375506154471680,-177297.0,-860.0,396.0
4709105810961235840,-176802.0,-607.0,278.0
1058066262817534336,-175063.0,-912.0,122.0
1356103870372434560,-174824.0,-985.0,335.0
3486473757325180032,-174607.0,-940.0,405.0
3482153192024695040,-174251.0,-736.0,368.0
4656309186747326336,-173109.0,-808.0,288.0
4333191409721607680,-173018.0,-1054.0,441.0
1319786348472618880,-172919.0,-1098.0,462.0
6131445941124109952,-172733.0,-934.0,389.0
2852346261548304896,-172354.0,-937.0,411.0
5555745531172521344,-171811.0,-983.0,264.0
3892831505236595456,-171572.0,-1059.0,299.0
4659096066472534272,-170263.0,-1239.0,240.0
